"","States","2020-03-29 19:30:00","2020-03-30 11:11:45","2020-03-30 21:30:00","2020-03-31 20:30:00","2020-04-01 09:00:00","2020-04-01 19:30:00","2020-04-02 09:00:00","2020-04-02 18:00:00","2020-04-03 09:00:00","2020-04-03 18:00:00","2020-04-04 09:00:00","2020-04-04 18:00:00","2020-04-05 09:00:00","2020-04-05 18:00:00","2020-04-06 09:00:00","2020-04-06 18:00:00","2020-04-07 09:00:00","2020-04-07 18:00:00","2020-04-08 09:00:00","2020-04-09 08:00:00","2020-04-09 17:00:00","2020-04-10 08:00:00","2020-04-10 17:00:00","2020-04-11 08:00:00","2020-04-11 17:00:00","2020-04-12 08:00:00","2020-04-12 17:00:00","2020-04-13 08:00:00","2020-04-13 17:00:00","2020-04-14 08:00:00","2020-04-14 17:00:00","2020-04-15 08:00:00","2020-04-15 17:00:00","2020-04-16 17:00:00","2020-04-17 08:00:00","2020-04-17 17:00:00","2020-04-18 17:00:00","2020-04-19 08:00:00","2020-04-19 5PM","2020-04-20 8AM","April 20, 2020 17:00 hrs","April 21, 2020 08:00 hrs","April 21, 2020 17:00 hrs","April 22, 2020 08:00 hrs","April 22, 2020 17:00 hrs","April 23, 2020 08:00 hrs","April 23, 2020 17:00 hrs","April 24, 2020 08:00 hrs","April 24, 2020 17:00 hrs","April 25, 2020 17:00 hrs","April 26, 2020 17:00 hrs","April 27, 2020 17:00 hrs","April 28, 2020 17:00 hrs","April 29, 2020 17:00 hrs","April 30, 2020 17:00 hrs","May 01, 2020 17:00 hrs","May 02, 2020 17:00 hrs","May 04, 2020 17:00 hrs","May 05, 2020 17:00 hrs","May 07, 2020 17:00 hrs","May 08, 2020 17:00 hrs","May 09, 2020 17:00 hrs","May 10, 2020 17:00 hrs","May 11, 2020 17:00 hrs","May 12, 2020 17:00 hrs","May 13, 2020 08:00 hrs","May 14, 2020 08:00 hrs","May 15, 2020 08:00 hrs","May 16, 2020 08:00 hrs","May 17, 2020 08:00 hrs","May 18, 2020 08:00 hrs","May 19, 2020 08:00 hrs","May 20, 2020 08:00 hrs","May 21, 2020 08:00 hrs","May 22, 2020 08:00 hrs","May 23, 2020 08:00 hrs","May 24, 2020 08:00 hrs","May 25, 2020 08:00 hrs","May 26, 2020 08:00 hrs","May 27, 2020 08:00 hrs","May 28, 2020 08:00 hrs","May 29, 2020 08:00 hrs","May 30, 2020 08:00 hrs","May 31, 2020 08:00 hrs","June 01, 2020 08:00 hrs","June 02, 2020 08:00 hrs","June 03, 2020 08:00 hrs","June 04, 2020 08:00 hrs","June 05, 2020 08:00 hrs","June 06, 2020 08:00 hrs","June 07, 2020 08:00 hrs","June 08, 2020 08:00 hrs","June 09, 2020 08:00 hrs","June 10, 2020 08:00 hrs","June 11, 2020 08:00 hrs","June 12, 2020 08:00 hrs","June 13, 2020 08:00 hrs","June 14, 2020 08:00 hrs","June 15, 2020 08:00 hrs","June 16, 2020 08:00 hrs","June 17, 2020 08:00 hrs","June 18, 2020 08:00 hrs","June 19, 2020 08:00 hrs","June 20, 2020 08:00 hrs","June 21, 2020 08:00 hrs"
"21","Madhya Pradesh",30,33,47,47,47,66,99,99,99,104,104,104,104,165,165,165,165,229,229,229,259,259,259,435,443,532,564,564,604,604,730,730,987,1120,1120,1308,1355,1407,1407,1407,1485,1485,1540,1552,1592,1592,1695,1699,1852,1952,2096,2168,2368,2561,2660,2660,2719,2942,3049,3138,3252,3341,3614,3614,3785,3986,4173,4426,4595,4789,4977,5236,5465,5735,5981,6170,6371,6665,6859,7024,7261,7453,7645,7891,8089,8283,8420,8588,8762,8996,9228,9401,9638,9849,10049,10241,10443,10641,10802,10935,11083,11244,11426,11582,11724
"22","Maharashtra",186,193,198,216,302,302,335,335,335,335,423,490,490,490,690,748,748,868,1018,1135,1135,1364,1364,1574,1574,1761,1761,1985,1985,2334,2337,2687,2687,2919,3205,3205,3323,3651,3651,4203,4203,4666,4669,5218,5221,5652,5652,6430,6430,6817,7628,8068,8590,9318,9915,10498,11506,12974,14541,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,82968,85975,88528,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205
"23","Manipur",1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,7,7,7,9,25,25,26,29,32,39,39,44,55,59,62,71,83,89,118,124,132,157,172,272,304,311,366,385,449,458,490,500,552,606,681,777
"24","Meghalaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,7,9,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,20,21,27,27,27,27,27,33,33,33,33,36,36,43,44,44,44,44,44,44,44,44,44,44,44
"25","Mizoram",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,14,17,22,24,34,42,88,93,102,104,107,112,117,121,121,130,130,140
"26","Nagaland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,18,25,36,43,43,49,58,80,94,107,118,123,127,128,128,156,163,168,177,179,193,193,198,201
"27","Odisha",3,3,3,3,4,4,4,4,5,5,5,5,20,20,21,21,21,42,42,42,42,44,44,48,48,50,54,54,54,54,55,60,60,60,60,60,60,61,61,68,68,74,74,79,82,83,83,90,90,94,103,108,118,119,128,142,154,163,170,185,219,271,294,377,414,437,538,611,672,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856
"28","Puducherry",1,1,1,1,1,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,12,13,13,13,13,13,13,18,18,18,20,26,26,41,41,46,46,51,51,51,70,74,82,82,82,99,99,99,127,127,127,157,157,176,194,202,216,245,271,286,286
"29","Punjab",38,38,38,41,41,42,46,46,46,48,53,57,57,57,68,76,76,91,91,101,101,101,132,132,132,151,151,151,167,167,176,176,186,186,186,186,202,202,202,219,219,245,245,245,251,251,277,277,277,298,298,313,313,322,357,357,772,1102,1233,1516,1644,1731,1762,1823,1877,1914,1924,1935,1935,1946,1964,1980,2002,2005,2028,2029,2045,2060,2060,2106,2139,2158,2197,2233,2263,2301,2342,2376,2415,2461,2515,2608,2663,2719,2805,2887,2986,3063,3140,3267,3371,3497,3615,3832,3952
"30","Rajasthan",55,57,59,74,93,93,108,108,133,167,179,200,200,200,253,274,288,288,328,381,383,463,463,553,553,700,700,804,812,873,879,969,1005,1023,1131,1131,1229,1351,1351,1478,1478,1576,1576,1659,1801,1890,1890,1964,1964,2034,2083,2185,2262,2364,2438,2584,2666,2886,3061,3317,3427,3579,3708,3814,3988,4126,4328,4534,4727,4960,5202,5507,5845,6015,6227,6494,6742,7028,7300,7536,7703,8067,8365,8617,8831,8980,9373,9652,9862,10084,10331,10599,10763,11245,11600,11838,12068,12401,12694,12981,13216,13542,13857,14156,14536
