"","States","2020-03-29 19:30:00","2020-03-30 11:11:45","2020-03-30 21:30:00","2020-03-31 20:30:00","2020-04-01 09:00:00","2020-04-01 19:30:00","2020-04-02 09:00:00","2020-04-02 18:00:00","2020-04-03 09:00:00","2020-04-03 18:00:00","2020-04-04 09:00:00","2020-04-04 18:00:00","2020-04-05 09:00:00","2020-04-05 18:00:00","2020-04-06 09:00:00","2020-04-06 18:00:00","2020-04-07 09:00:00","2020-04-07 18:00:00","2020-04-08 09:00:00","2020-04-09 08:00:00","2020-04-09 17:00:00","2020-04-10 08:00:00","2020-04-10 17:00:00","2020-04-11 08:00:00","2020-04-11 17:00:00","2020-04-12 08:00:00","2020-04-12 17:00:00","2020-04-13 08:00:00","2020-04-13 17:00:00","2020-04-14 08:00:00","2020-04-14 17:00:00","2020-04-15 08:00:00","2020-04-15 17:00:00","2020-04-16 17:00:00","2020-04-17 08:00:00","2020-04-17 17:00:00","2020-04-18 17:00:00","2020-04-19 08:00:00","2020-04-19 5PM","2020-04-20 8AM","April 20, 2020 17:00 hrs","April 21, 2020 08:00 hrs","April 21, 2020 17:00 hrs","April 22, 2020 08:00 hrs","April 22, 2020 17:00 hrs","April 23, 2020 08:00 hrs","April 23, 2020 17:00 hrs","April 24, 2020 08:00 hrs","April 24, 2020 17:00 hrs","April 25, 2020 17:00 hrs","April 26, 2020 17:00 hrs","April 27, 2020 17:00 hrs","April 28, 2020 17:00 hrs","April 29, 2020 17:00 hrs","April 30, 2020 17:00 hrs","May 01, 2020 17:00 hrs","May 02, 2020 17:00 hrs","May 04, 2020 17:00 hrs","May 05, 2020 17:00 hrs","May 07, 2020 17:00 hrs","May 08, 2020 17:00 hrs","May 09, 2020 17:00 hrs","May 10, 2020 17:00 hrs","May 11, 2020 17:00 hrs","May 12, 2020 17:00 hrs","May 13, 2020 08:00 hrs","May 14, 2020 08:00 hrs","May 15, 2020 08:00 hrs","May 16, 2020 08:00 hrs","May 17, 2020 08:00 hrs","May 18, 2020 08:00 hrs","May 19, 2020 08:00 hrs","May 20, 2020 08:00 hrs","May 21, 2020 08:00 hrs","May 22, 2020 08:00 hrs","May 23, 2020 08:00 hrs","May 24, 2020 08:00 hrs","May 25, 2020 08:00 hrs","May 26, 2020 08:00 hrs","May 27, 2020 08:00 hrs","May 28, 2020 08:00 hrs","May 29, 2020 08:00 hrs","May 30, 2020 08:00 hrs","May 31, 2020 08:00 hrs","June 01, 2020 08:00 hrs","June 02, 2020 08:00 hrs","June 03, 2020 08:00 hrs","June 04, 2020 08:00 hrs","June 05, 2020 08:00 hrs","June 06, 2020 08:00 hrs","June 07, 2020 08:00 hrs","June 08, 2020 08:00 hrs","June 09, 2020 08:00 hrs","June 10, 2020 08:00 hrs","June 11, 2020 08:00 hrs","June 12, 2020 08:00 hrs","June 13, 2020 08:00 hrs","June 14, 2020 08:00 hrs","June 15, 2020 08:00 hrs","June 16, 2020 08:00 hrs","June 17, 2020 08:00 hrs","June 18, 2020 08:00 hrs","June 19, 2020 08:00 hrs","June 20, 2020 08:00 hrs"
"23","Manipur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Meghalaya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","Mizoram",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Nagaland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Odisha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,9,9,9,9,9,10,10,11,11,11,11,11,11
"28","Puducherry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,6,7,7,7
"29","Punjab",1,1,1,3,3,3,4,4,4,5,5,5,5,5,6,6,6,7,7,8,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,17,17,18,18,19,19,19,20,21,23,27,28,29,31,31,31,32,32,32,32,32,35,37,38,38,39,39,39,40,40,40,40,40,42,44,45,45,46,47,47,48,50,51,53,55,55,59,63,65,67,71,72,78,83,92
"30","Rajasthan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,11,11,11,11,14,14,25,25,25,25,27,27,27,27,27,33,41,46,51,51,58,62,71,77,92,97,101,106,107,113,117,121,125,125,126,131,138,143,147,151,153,160,163,167,170,173,180,184,193,194,198,203,209,213,218,231,240,246,255,259,265,272,282,292,301,308,313,323,333
"31","Sikkim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Tamil Nadu",1,1,1,1,1,1,1,1,1,1,1,2,3,3,5,5,5,5,7,8,8,8,8,8,8,10,10,11,11,11,11,12,12,14,15,15,15,15,15,15,15,17,17,18,18,18,18,20,20,22,23,24,24,25,27,27,28,30,31,35,37,40,44,47,53,61,64,66,71,74,78,81,84,87,94,98,103,111,118,127,133,145,154,160,173,184,197,208,220,232,251,269,286,307,326,349,367,397,435,479,528,576,625,666
"33","Telangana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,174,182,185,187,191,192,195,198
"34","Telengana",1,1,1,1,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,16,16,17,17,18,18,18,18,18,18,18,18,21,23,23,23,23,23,24,24,26,26,26,26,26,26,26,26,26,29,29,29,29,29,30,30,30,32,34,34,34,34,34,35,38,40,45,45,49,53,56,57,63,67,71,77,82,88,92,99,105,113,123,137,142,148,156,0,0,0,0,0,0,0,0,0
"35","Tripura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"36","Uttar Pradesh",0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,11,13,13,14,14,14,14,17,17,18,20,20,21,21,21,24,24,26,29,31,31,36,39,39,43,45,53,60,62,66,74,74,80,82,83,88,95,104,104,118,123,127,138,152,155,161,165,170,182,197,198,201,213,217,222,229,245,257,257,275,283,301,321,345,365,385,399,399,417,435,465,488
"37","Uttarakhand",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,4,4,5,5,5,6,7,8,10,11,11,13,13,13,15,15,21,23,24,24,25,26,26,26
"38","West Bengal",1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,10,10,10,12,12,12,12,12,12,15,15,15,15,15,15,18,18,20,20,22,22,33,33,35,133,144,151,160,171,185,190,198,207,215,225,232,238,244,250,253,259,265,269,272,278,283,289,295,302,309,317,325,335,345,355,366,383,396,405,415,432,442,451,463,475,485,495,506,518,529
"39","Total",27,29,32,35,38,41,50,53,56,62,68,75,77,83,109,111,114,124,149,166,169,199,206,239,242,273,273,308,324,339,353,377,392,420,437,452,488,507,507,543,559,590,603,640,652,681,686,718,723,779,826,886,937,1008,1075,1147,1223,1389,1583,1783,1886,1981,2109,2206,2293,2415,2549,2649,2752,2872,3029,3163,3303,3435,3583,3720,3867,4021,4167,4337,4531,4706,4971,5164,5394,5598,5815,6075,6348,6642,6929,7200,7471,7745,8102,8498,8884,9195,9520,9900,11903,12237,12573,12948
